index,used,power,price_US,year,class,hull_material,seller,Length_ft,location,make_model,
1,yes,yes,84900,2014,Bowrider,Fiberglass,James Boatright,28,"Jupiter, Florida",Sea Ray.270 SLX,
2,yes,yes,93995,2004,Bowrider,Fiberglass,Village Marina & Yacht Club,35,United States,Cobalt.343,
3,yes,yes,498900,2015,Bowrider,Fiberglass,Dave Bofill,36,New York,Chris-Craft.36 Launch,
4,yes,yes,Request Price,2017,Bowrider,Fiberglass,Village Marina & Yacht Club,35,United States,Cobalt.R35,
5,yes,yes,299900,2015,Bowrider,Fiberglass,Glencove Marina,35,"Lake Ozark, Missouri",Formula Boats.350 Crossover Bowrider,
6,yes,yes,Request Price,2017,Bowrider,Fiberglass,Clinton Marine,35,"Weldon, Illinois",Cobalt.R35,
7,yes,yes,39500,1998,Bowrider,Fiberglass,Port Gardner Yacht Brokerage,35,"Anacortes, Washington",Bounty.35,
8,yes,yes,497000,2015,Bowrider,Fiberglass,Harborside Yacht Sales,36,Connecticut,Chris-Craft.Launch 36,
9,yes,yes,84900,2005,Bowrider,Other,POP Yachts,36,"Climax Springs, Missouri",Envision.Legacy 3600 ESP,
10,yes,yes,Request Price,2017,Bowrider,Fiberglass,Harborside Yacht Sales,36,"Clinton, Connecticut",Chris-Craft.Launch 36,
11,yes,yes,Request Price,2017,Bowrider,Fiberglass,Bob Hewes Boats,37,"miami, Florida",Monterey.378SS,
12,yes,yes,Request Price,2017,Bowrider,Fiberglass,Bob Hewes Boats,37,Florida,Monterey.378SS,
13,yes,yes,Request Price,2017,Bowrider,Fiberglass,Bob Hewes Boats,37,United States,Monterey.378SS,
14,yes,yes,Request Price,2017,Bowrider,Fiberglass,Formula Boats,35,,Formula.350 Crossover Bowrider,
15,yes,yes,Request Price,2016,Bowrider,Fiberglass,TriToon Town,37,"Osage Beach, Missouri",Monterey.378SE,
16,yes,yes,19995,2012,Bowrider,Composite,Matt Heikkinen,19,"Houghton, Michigan",Bayliner.Flight Series 185,
17,yes,yes,Request Price,2017,Bowrider,Fiberglass,Formula Boats,35,,Formula.350 FX Crossover Bowrider,
18,yes,yes,28000,2011,Bowrider,Fiberglass,Claus Jepsen,21,"Chapel Hill, North Carolina",Stingray.215 LR,
19,yes,yes,37500,2012,Bowrider,Composite,michael strasser,24,"port orange, Florida",Yamaha.242 Limited,
20,yes,yes,407730,2017,Bowrider,Fiberglass,Gulf Coast Boat Sales,35,"Naples, Florida",Formula.350 Crossover Bowrider,
21,yes,yes,26500,2005,Bowrider,Fiberglass,Thomas Petersen,24,"Bumpass, Virginia",Sea Ray.220,
22,yes,yes,17950,2008,Bowrider,Fiberglass,John Milford,23,"St Petersburg, Florida",Larson.LXi 228,
23,yes,yes,Request Price,2016,Bowrider,Fiberglass,Marine Tech Concepts,35,"Port Clinton, Ohio",Formula.350 Crossover Bowrider,
24,yes,yes,Request Price,2017,Bowrider,Fiberglass,Rhode River Boat Sales,35,"Edgewater, Maryland",Formula.350 CBR,
25,yes,yes,319000,2017,Bowrider,Fiberglass,Dry Harbour Marine,35,United States,Formula.350 Crossover Bowrider,
26,yes,yes,269500,2014,Bowrider,Fiberglass,Grand Lake Boat Sales LLC,35,"Eucha, Oklahoma",Formula.350 Crossover Bowrider,
27,yes,yes,Request Price,2016,Bowrider,Fiberglass,Marine Tech Concepts,35,"Port Clinton, Ohio",Formula.350 Crossover Bowrider,
28,yes,yes,407726,2017,Bowrider,Fiberglass,Chicago Yacht Works,35,United States,Formula.350 Crossover Bowrider,
29,yes,yes,Request Price,2017,Bowrider,Fiberglass,Lakeside Formula,35,"St. Clair Shores, Michigan",Formula.350 Crossover Bowrider,
30,yes,yes,Request Price,2016,Bowrider,Fiberglass,Rhode River Boat Sales,35,"Egewater, Maryland",Formula.350 Crossover Bowrider,
31,yes,yes,349000,2016,Bowrider,Fiberglass,Power Yachts International,35,"Cape Coral, Florida",Formula.350 Crossover Bowrider,
32,yes,yes,299900,2015,Bowrider,Fiberglass,Gulf Coast Boat Sales,35,"Fort Myers, Florida",Formula.350 Crossover Bowrider,
33,yes,yes,249850,2014,Bowrider,Fiberglass,"Shipyard Marine, Inc",35,"Green Bay, Wisconsin",Formula.350 Crossover Bowrider,
34,yes,yes,Request Price,2016,Bowrider,Fiberglass,Gulf Coast Boat Sales,35,"Naples, Florida",Formula.350 Crossover Bowrider,
35,yes,yes,Request Price,2016,Bowrider,Fiberglass,The Nautic Group,35,"Kemah, Texas",Formula.350 Crossover Bowrider,
36,yes,yes,Request Price,2016,Bowrider,Fiberglass,"IMG of Tampa Bay, Inc",35,"St. Petersburg, Florida",Formula.350 Crossover Bowrider,
37,yes,yes,Request Price,2016,Bowrider,Fiberglass,South Austin Marine Corp,35,"Austin, Texas",Formula.350 CBR,
38,yes,yes,259000,2016,Bowrider,Fiberglass,Comstock Yacht Sales & Marina,35,"Brick, New Jersey",Formula.350 Crossover Bow Rider,
39,yes,yes,254900,2014,Bowrider,Fiberglass,Gulf Coast Boat Sales,35,"Naples, Florida",Formula.350 CBR FX6,
40,yes,yes,Request Price,2016,Bowrider,Other,Skipper Bud's - Lake Geneva,35,"Walworth, Wisconsin",Four Winns.350H,
41,yes,yes,Request Price,2017,Bowrider,Other,Skipper Bud's Belle Maer Harbor,35,"Harrison Township, Michigan",Four Winns.350H,
42,yes,yes,Request Price,2016,Bowrider,Fiberglass,Westchester Yacht Sales,35,"Mamaroneck, New York",Four Winns.H350,
43,yes,yes,199000,2016,Bowrider,Fiberglass,Mar Azul Marine Group,35,"Miami, Florida",Four Winns.H350,
44,yes,yes,Request Price,2016,Bowrider,Fiberglass,Four Winns,35,,Four Winns.H350,
45,yes,yes,322310,2017,Bowrider,Fiberglass,Wayzata Marine,35,"Wayzata, Minnesota",Four Winns.H350,
46,yes,yes,Request Price,2017,Bowrider,Fiberglass,Boater's Landing,35,"Ft.Myers, Florida",Four Winns.H350,
47,yes,yes,249900,2013,Bowrider,Fiberglass,Tahoe Vista Sports,35,"Tahoe Vista, California",Formula.350 Crossover Bowrider,
48,yes,yes,225000,2013,Bowrider,Fiberglass,Gulf Coast Boat Sales,35,"Cape Coral, Florida",Formula.350 Sun Sport,
49,yes,yes,249995,2013,Bowrider,Fiberglass,Formula Boats of Missouri,35,"Osage Beach, Missouri",Formula.350 Crossover Bowrider,
50,yes,yes,229900,2013,Bowrider,Fiberglass,Formula Boats of Missouri,35,"Osage Beach, Missouri",Formula.350 Bow Rider,
51,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Ft. Myers,35,"Ft. Myers, Florida",Sea Ray.SLX 350,
52,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Lake Ozark,35,"Lake Ozark, Missouri",Sea Ray.SLX 350,
53,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Dallas,35,"Lewisville, Texas",Sea Ray.SLX 350,
54,yes,yes,279000,2014,Bowrider,Fiberglass,Borden & Associates Yacht Sales,35,"Marco Island, Florida",Formula.350 Crossover Bowrider,
55,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Grand Lake,35,"Afton, Oklahoma",Sea Ray.350 SLX,
56,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Pompano,35,"Pompano Beach, Florida",Sea Ray.350 SLX,
57,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Miami,35,"Miami, Florida",Sea Ray.350 SLX,
58,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Ft. Myers,35,"Ft. Myers, Florida",Sea Ray.350 SLX,
59,yes,yes,Request Price,2016,Bowrider,Other,SkipperBud's - Grand Haven,35,"Grand Haven, Michigan",Sea Ray.350 SLX,
