_id,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,ltable_price_US,ltable_hull_material,rtable_Length_ft,rtable_make_model,rtable_seller,rtable_location,rtable_year,rtable_price_US,rtable_hull_material
7225,28,Chaparral.284 Sunesta,Waterfront Marine-Maryland,"Edgewater, Maryland",2016,Request Price,Fiberglass,28,Chaparral 284 Sunesta,"Waterfront Marine Yacht Sales-New Jersey
   ","Edgewater, MD",2016,1,Fiberglass
7398,28,Chaparral.284 Sunesta,Waterfront Marine Yacht Sales,"SOMERS POINT, New Jersey",2017,Request Price,Fiberglass,28,Chaparral 284 Sunesta,"Waterfront Marine Yacht Sales-New Jersey
   ","SOMERS POINT, NJ",2017,1,Fiberglass
7731,28,Chaparral.284 Sunesta,Bent Marine,United States,2014,Request Price,Fiberglass,28,Chaparral 284 Sunesta,"Bent Marine
   ",United States,2014,1,Fiberglass
8073,28,Chaparral.284 Sunesta,"Berry-Boger Yacht Sales, Inc.","Myrtle Beach , South Carolina",2014,95000,Fiberglass,28,Chaparral 284 Sunesta,"Berry-Boger Yacht Sales, Inc.
   ","Myrtle Beach , SC",2014,95000,Fiberglass
8572,28,Chaparral.284 Sunesta,Waterfront Marine Yacht Sales,"Somers Point, New Jersey",2012,79900,Fiberglass,28,Chaparral 284 Sunesta,"Waterfront Marine Yacht Sales-New Jersey
   ","Somers Point, NJ",2012,79900,Fiberglass
8904,28,Regal.2800 Bowrider,Basa's Marine,"Bolingbrook, Illinois",2017,177400,Fiberglass,28,Regal 2800 Bowrider,"Basa's Marine
   ","Bolingbrook, IL",2017,177400,Fiberglass
9083,28,Chaparral.284 Sunesta,Waterfront Marine Yacht Sales,"Edgewater, Maryland",2012,79900,Fiberglass,28,Chaparral 284 Sunesta,"Waterfront Marine Yacht Sales-New Jersey
   ","Edgewater, MD",2012,79900,Fiberglass
9415,28,Chaparral.284 Sunesta,C - Jam Yacht Sales -- Stevensville,"Stevensville, Maryland",2013,84900,Fiberglass,28,Chaparral 284 Sunesta,"C-Jam Yacht Sales
   ","Stevensville, MD",2013,84900,Fiberglass
10765,28,2002 Chaperral.Seaquence,Power Yachts International,United States,2002,17300,Fiberglass,28,2002 Chaperral Seaquence,"Power Yachts International
   ",United States,2002,17300,Fiberglass
11777,28,Regal.2800 Bowrider,Quality Boats,"Clearwater, Florida",2016,Request Price,Fiberglass,28,Regal 2800 Bowrider,"Quality Boats
   ","Clearwater, FL",2016,Call for Price,Fiberglass
