_id,ltable_index,rtable_index,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,rtable_Length_ft,rtable_Make_Model,rtable_seller,rtable_location,rtable_year
6709,722,698,28,Sea Ray.270 Select EX,Hall Marine Group-Sea Ray of Savannah,United States,2008,28,Sea Ray 270 Select EX,"Erwin Marine
   ","AL, United States",2008
7225,726,542,28,Chaparral.284 Sunesta,Waterfront Marine-Maryland,"Edgewater, Maryland",2016,28,Chaparral 284 Sunesta,"Waterfront Marine Yacht Sales-New Jersey
   ","Edgewater, MD",2016
7398,727,547,28,Chaparral.284 Sunesta,Waterfront Marine Yacht Sales,"SOMERS POINT, New Jersey",2017,28,Chaparral 284 Sunesta,"Waterfront Marine Yacht Sales-New Jersey
   ","SOMERS POINT, NJ",2017
7731,729,544,28,Chaparral.284 Sunesta,Bent Marine,United States,2014,28,Chaparral 284 Sunesta,"Bent Marine
   ",United States,2014
8073,731,550,28,Chaparral.284 Sunesta,"Berry-Boger Yacht Sales, Inc.","Myrtle Beach , South Carolina",2014,28,Chaparral 284 Sunesta,"Berry-Boger Yacht Sales, Inc.
   ","Myrtle Beach , SC",2014
8572,734,545,28,Chaparral.284 Sunesta,Waterfront Marine Yacht Sales,"Somers Point, New Jersey",2012,28,Chaparral 284 Sunesta,"Waterfront Marine Yacht Sales-New Jersey
   ","Somers Point, NJ",2012
8904,736,541,28,Regal.2800 Bowrider,Basa's Marine,"Bolingbrook, Illinois",2017,28,Regal 2800 Bowrider,"Basa's Marine
   ","Bolingbrook, IL",2017
9083,737,552,28,Chaparral.284 Sunesta,Waterfront Marine Yacht Sales,"Edgewater, Maryland",2012,28,Chaparral 284 Sunesta,"Waterfront Marine Yacht Sales-New Jersey
   ","Edgewater, MD",2012
9261,738,562,28,Regal.2700 ES Bowrider,AM PM MARINE,"Pasadena, Maryland",2016,28,Regal 2800 Bowrider,"AM PM MARINE
   ","Pasadena, MD",2016
9415,739,548,28,Chaparral.284 Sunesta,C - Jam Yacht Sales -- Stevensville,"Stevensville, Maryland",2013,28,Chaparral 284 Sunesta,"C-Jam Yacht Sales
   ","Stevensville, MD",2013
10765,747,554,28,2002 Chaperral.Seaquence,Power Yachts International,United States,2002,28,2002 Chaperral Seaquence,"Power Yachts International
   ",United States,2002
11600,752,549,28,Regal.2800 Bowrider,Strong's Marine,"Mattituck, New York",2016,28,Regal 2800 Bowrider,"Strong's Marine
   ","Mattituck, NY",2016
11777,753,558,28,Regal.2800 Bowrider,Quality Boats,"Clearwater, Florida",2016,28,Regal 2800 Bowrider,"Quality Boats
   ","Clearwater, FL",2016
12285,756,562,28,Regal.2800 Bowrider,AM PM MARINE,"Pasadena, Maryland",2016,28,Regal 2800 Bowrider,"AM PM MARINE
   ","Pasadena, MD",2016
16980,784,553,28,Chaparral.280 SSi,Yacht Sales International.com,"Fort Lauderdale, Florida",2004,28,Chaparral 280 SSi,"Yacht Sales International.com
   ","Fort Lauderdale, FL",2004
17501,787,570,28,Chaparral.287SSX (15 hours),"Berry-Boger Yacht Sales, Inc.","North Myrtle Beach, South Carolina",2014,28,Chaparral 287SSX (15 hours),"Berry-Boger Yacht Sales, Inc.
   ","North Myrtle Beach, SC",2014
17852,789,585,28,Chris-Craft.Launch 28,Grande Yachts International - Dania Beach,"Cape Charles, Virginia",2017,28,Chris-Craft Launch 28,"Grande Yachts International
   ","Cape Charles, VA",2017
18033,790,598,28,Chris-Craft.Launch 28,Schrader Yacht Sales,"Point Pleasant, New Jersey",2017,28,Chris-Craft Launch 28,"Schrader Yacht Sales
   ","Point Pleasant, NJ",2017
18171,791,568,28,Chaparral.284 Sunesta,Robert Christopher Yacht Sales-Main Office,"Santa Rosa Beach, Florida",2008,28,Chaparral 284 Sunesta,"Robert Christopher Yacht Sales
   ","Santa Rosa Beach, FL",2008
18510,793,571,28,Chris-Craft.Launch 28,Grande Yachts International - Grasonville,"Grasonville, Maryland",2017,28,Chris-Craft Launch 28,"Grande Yachts International
   ","Grasonville, MD",2017
18672,794,565,28,Chaparral.287 SSX,"Red Line Marine Liquidators, Inc","Oceanport, New Jersey",2013,28,Chaparral 287 SSX,"Red Line Marine Liquidators, Inc
   ","Oceanport, NJ",2013
19345,798,566,28,Chaparral.284 Sunesta,Hawk's Yachts Annapolis Office,"Edgewater, Maryland",2011,28,Chaparral 284 Sunesta,"Hawk's Yachts
   ","Edgewater, MD",2011
20014,802,563,28,Chaparral.Sunesta 284,Annapolis Sailyard,United States,2011,28,Chaparral Sunesta 284,"The Annapolis Sailyard
   ",United States,2011
20179,803,560,28,Chaparral.2830 SSI,Waterfront Marine Yacht Sales,"Somers Point, New Jersey",1999,28,Chaparral 2830 SSI,"Waterfront Marine Yacht Sales-New Jersey
   ","Somers Point, NJ",1999
20543,805,588,28,Chris-Craft.Launch 28,Dave Bofill,"Southampton, New York",2017,28,Chris-Craft Launch 28,"Dave Bofill Marine, Inc
   ","Southampton, NY",2017
20690,806,567,28,Chris-Craft.Launch 28,Montauk Yacht Sales,United States,2012,28,Chris Craft 28 Launch,"Montauk Yacht Sales
   ",United States,2012
20860,807,569,28,Chris-Craft.Launch 28,Legendary Marine Destin,"Destin, Florida",2015,28,Chris Craft Launch 28,"Legendary Marine
   ","Destin, FL",2015
21043,808,584,28,Chris-Craft.Launch 28,"Bay Marine of Sturgeon Bay, Inc","Sturgeon Bay, Wisconsin",2009,28,Chris-Craft Launch 28,"Bay Marine of Sturgeon Bay, Inc
   ","Sturgeon Bay, WI",2009
