_id,ltable_index,rtable_index,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,ltable_price_US,ltable_hull_material,rtable_Length_ft,rtable_make_model,rtable_seller,rtable_location,rtable_year,rtable_price_US,rtable_hull_material,gold
7225,726,542,28,Chaparral.284 Sunesta,Waterfront Marine-Maryland,"Edgewater, Maryland",2016,Request Price,Fiberglass,28,Chaparral 284 Sunesta,"Waterfront Marine Yacht Sales-New Jersey
   ","Edgewater, MD",2016,1,Fiberglass,0
12285,756,562,28,Regal.2800 Bowrider,AM PM MARINE,"Pasadena, Maryland",2016,Request Price,Fiberglass,28,Regal 2800 Bowrider,"AM PM MARINE
   ","Pasadena, MD",2016,Call for Price,Fiberglass,0
21711,812,580,28,Chris-Craft.Launch 28,Grande Yachts International - Deerfield,"Deerfield Beach, Florida",2016,Request Price,Fiberglass,28,Chris-Craft 28 LAUNCH,"Grande Yachts International
   ","Deerfield Beach, FL",2016,Call for Price,Fiberglass,0
22064,814,597,28,Chris-Craft.Launch 28,Barrier Island Marine,"Charleston, South Carolina",2016,Request Price,Fiberglass,28,Chris-Craft Launch 28,"Barrier Island Marine
   ","Charleston, SC",2016,1,Fiberglass,0
22548,817,577,28,Chris-Craft.Launch 28,Grande Yachts International - Dania Beach,"Dania Beach, Florida",2017,Request Price,Fiberglass,28,Chris-Craft Launch 28,"Grande Yachts International
   ","Dania Beach, FL",2017,Call for Price,Fiberglass,0
25063,832,572,28,Chris-Craft.Launch 28,"Coral Gables Yachts, LLC","Chicago, Illinois",2002,39900,Fiberglass,28,Chris-Craft 28' Launch,"Coral Gables Yachts, LLC
   ","Chicago, IL",2002,39900,Fiberglass,0
30135,862,604,28,Crownline.288 BR,Rudders & Moorings Yacht Sales LLC,"Stratford, Connecticut",2003,24900,Fiberglass,28,Crownline 288 BR,"Rudders & Moorings Yacht Sales, LLC
   ","Stratford, CT",2003,24900,Fiberglass,0
30653,865,618,28,Formula.280 Bowrider,Boat Brokers LKN,"Cornelius, North Carolina",1999,27500,Fiberglass,28,Formula 280 Bowrider,"Boat Brokers LKN
   ","Cornelius, NC",1999,27500,Fiberglass,0
30986,867,615,28,Formula.280 Bowrider,Off The Hook Yacht Sales,"Annapolis, Maryland",2005,32900,Fiberglass,28,Formula 280 Bowrider,"Off The Hook Yacht Sales
   ","Annapolis, MD",2005,32900,Fiberglass,0
32005,873,626,28,Monterey.278 Ss,Lake Union Sea Ray (Fife Store),"Fife, Washington",2008,59995,Fiberglass,28,Monterey 278 SS,"Lake Union Sea Ray
   ","Fife, WA",2008,59995,Fiberglass,0
34906,890,671,28,Sea Ray.SLX 280,MarineMax Sarasota,"Sarasota, Florida",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Sarasota, FL",2017,Call for Price,Fiberglass,0
35233,892,662,28,Sea Ray.SLX 280,MarineMax Brick,"Brick, New Jersey",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Brick, NJ",2017,Call for Price,Fiberglass,0
36410,899,663,28,Sea Ray.SLX 280,MarineMax Cumming,"Cumming, Georgia",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Cumming, GA",2017,Call for Price,Fiberglass,0
36763,901,680,28,Sea Ray.SLX 280,MarineMax Clearwater,"Clearwater, Florida",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Clearwater, FL",2017,Call for Price,Fiberglass,0
36897,902,646,28,Sea Ray.280 SLX,MarineMax Dallas,"Lewisville, Texas",2016,Request Price,Fiberglass,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Lewisville, TX",2016,Call for Price,Fiberglass,0
37399,905,644,28,Sea Ray.280 SLX,MarineMax Lake Hopatcong,"Lake Hopatcong, New Jersey",2016,Request Price,Fiberglass,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Lake Hopatcong, NJ",2016,Call for Price,Fiberglass,0
38574,912,643,28,Sea Ray.280 SLX,MarineMax Buford,"Buford, Georgia",2016,Request Price,Fiberglass,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Buford, GA",2016,Call for Price,Fiberglass,0
48517,25,36,35,Formula.350 Crossover Bowrider,Dry Harbour Marine,United States,2017,319000,Fiberglass,35,Formula 350 Crossover Bowrider,"Sales at Dry Harbour Marine
   ",United States,2017,319000,Fiberglass,0
49090,34,42,35,Formula.350 Crossover Bowrider,Gulf Coast Boat Sales,"Naples, Florida",2016,Request Price,Fiberglass,35,Formula 350 Crossover Bowrider,"Gulf Coast Boat Sales & Yacht Management
   ","Naples, FL",2016,,Fiberglass,0
49398,39,35,35,Formula.350 CBR FX6,Gulf Coast Boat Sales,"Naples, Florida",2014,254900,Fiberglass,35,Formula 350 CBR FX6,"Gulf Coast Boat Sales & Yacht Management
   ","Naples, FL",2014,254900,Fiberglass,0
