_id,ltable_index,rtable_index,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,ltable_price_US,ltable_hull_material,rtable_Length_ft,rtable_make_model,rtable_seller,rtable_location,rtable_year,rtable_price_US,rtable_hull_material,gold
3101577,9600,4252,13,Boston Whaler.13 Dauntless,Anchorage Yacht Sales,"Holland, Michigan",1997,8900,Fiberglass,13,Boston Whaler 13 Dauntless,"Anchorage Yacht Sales
   ","Holland, MI",1997,8900,Fiberglass,1
3101413,9586,4251,15,Sea-Doo.150 Speedster,Redmond Boat and Yacht Sales,"Fernandina Beach, Florida",2011,15900,Fiberglass,15,Sea-Doo Sport Boats 150 Speedster,"Redmond Boat and Yacht Sales
   ","Fernandina Beach, FL",2011,15900,Fiberglass,1
3097691,9516,4199,16,Bayliner.160 Element,Fox Chapel Marine,"PITTSBURGH, Pennsylvania",2017,Request Price,Fiberglass,16,Bayliner 160 Element,"Fox Chapel Marine
   ","PITTSBURGH, PA",2017,Call for Price,Fiberglass,1
3095902,9481,4195,16,Bayliner.160 Bowrider,Boater's Landing,"Fort Myers, Florida",2012,12995,Fiberglass,16,Bayliner 160 Bowrider,"Boater's Landing
   ","Fort Myers, FL",2012,12995,Fiberglass,1
3091826,9414,4175,17,Sea Ray.175 Sport,Prince William Marina,"Woodbridge, Virginia",2011,21900,Fiberglass,17,Sea Ray 175 Sport,"Prince William Marina
   ","Woodbridge, VA",2011,21900,Fiberglass,1
3087710,9352,4151,17,Four Winns.17 Horizon Qx,Sea Ray of Cincinnati,"Cincinnati, Ohio",1996,7995,Fiberglass,17,Four Winns 17 Horizon Qx,"Sea Ray of Cincinnati
   ","Cincinnati, OH",1996,7995,Fiberglass,1
3087445,9348,4150,17,Four Winns.170 Horizon,Grand Bay Marine,"Traverse City, Michigan",1996,7995,Fiberglass,17,Four Winns 170 Horizon,"Grand Bay Marine
   ","Traverse City, MI",1996,7995,Fiberglass,1
3068004,9209,4098,18,Bayliner.175 Bowrider,Lake Union Sea Ray (Fife Store),"Fife, Washington",2016,23645,Fiberglass,18,Bayliner 175 Bowrider,"Lake Union Sea Ray
   ","Fife, WA",2016,24258,Fiberglass,0
3066826,9205,4092,18,Bayliner.175 Bowrider,Lake Union Sea Ray (Fife Store),"Fife, Washington",2016,24258,Fiberglass,18,Bayliner 175 Bowrider,"Lake Union Sea Ray
   ","Fife, WA",2016,24372,Fiberglass,0
3066552,9204,4111,18,Bayliner.175 Bowrider,Fox Chapel Marine,"Pittsburgh, Pennsylvania",2016,Request Price,Fiberglass,18,Bayliner 175 Bowrider,"Fox Chapel Marine
   ","Pittsburgh, PA",2016,1,Fiberglass,1
